,原文,主题分布向量
10288,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10289,致敬🙏,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10290,有了你们才有祖国的安宁,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10291,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10292,不像有经验的,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10293,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10294,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10295,好辛苦,0.076 0.076 0.076 0.076 0.076 0.545 0.076
10296,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10297,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10298,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10299,向您们致敬有您们的辛勤付出才有祖国的安宁,0.143 0.143 0.141 0.142 0.143 0.144 0.143
10300,幸苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10301,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10302,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10303,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10304,辛苦了最可爱的人,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10305,感恩致敬,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10306,加油中国,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10307,风真大啊,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10308,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10309,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10310,不懂就问这么大的风拿个这么大的旗这东西是有什么执勤任务上的的需要吗有用能不能换面小点的旗要拿到哪去能不能卷起来拿边关要害是不是该务实求是点条件艰苦还要再给自己制造点困难咱能不能对战士们好点别老让他们玩这些看着就难受的绝活呗,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10311,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10312,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10313,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10314,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10315,来了,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10316,棒谢谢逆风而行的你们,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10317,致敬有你们了不起,0.081 0.081 0.080 0.080 0.081 0.517 0.081
10318,致敬英雄 摄影师辛苦了,0.048 0.381 0.048 0.048 0.048 0.381 0.048
10319,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10320,卷旗走,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10321,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10322,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10323,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10324,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10325,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10326,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10327,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10328,辛苦了致敬🫡,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10329,敬礼,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10330,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10331,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10332,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10333,天呐辛苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10334,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10335,怎么说呢,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10336,典型的形式主义,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10337,英雄守国门,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10338,幸苦咯致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10339,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10340,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10341,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10342,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10343,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10344,致敬 太不容易了,0.048 0.048 0.048 0.714 0.048 0.048 0.048
10345,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10346,老风口三个字是我表哥的大伯写的,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10347,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10348,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10349,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10350,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10351,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10352,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10353,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10354,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10355,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10356,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10357,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10358,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10359,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10360,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10361,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10362,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10363,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10364,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10365,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10366,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10367,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10368,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10369,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10370,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10371,辛苦了向你们致敬🫡,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10372,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10373,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10374,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10375,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10376,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10377,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10378,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10379,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10380,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10381,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10382,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10383,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10384,轉發微博,0.143 0.143 0.141 0.142 0.144 0.144 0.143
10385,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10386,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10387,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10388,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10389,致敬🫡辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10390,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10391,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10392,了不起,0.076 0.076 0.076 0.076 0.076 0.546 0.076
10393,太可怜了护目镜咱们国家配不起吗 为啥不能提供更好的装备,0.048 0.048 0.048 0.048 0.048 0.714 0.048
10394,致敬 辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10395,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10396,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10397,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10398,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10399,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10400,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10401,辛苦啦 致敬边防军人,0.381 0.048 0.048 0.048 0.048 0.381 0.048
10402,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10403,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10404,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10405,平平安安🙏🙏🙏,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10406,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10407,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10408,致敬🫡辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10409,辛苦了已爱国,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10410,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10411,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10412,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10413,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10414,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10415,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10416,辛苦致敬,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10417,祖国强我强祖国富我富我和祖国血肉相连努力奋斗做新时代的有志青年我爱祖国,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10418,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10419,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10420,致敬 愿平安,0.048 0.048 0.048 0.381 0.048 0.381 0.048
10421,致敬🫡辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10422,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10423,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10424,向你们致敬也要保护好自己,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10425,🙏,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10426,这风太大了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10427,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10428,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10429,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10430,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10431,感恩致敬最可爱的人辛苦了,0.143 0.145 0.141 0.142 0.143 0.144 0.143
10432,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10433,辛苦了感谢你们这样负重前行的人,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10434,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10435,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10436,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10437,感恩,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10438,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10439,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10440,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10441,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10442,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10443,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10444,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10445,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10446,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10447,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10448,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10449,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10450,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10451,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10452,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10453,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10454,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10455,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10456,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10457,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10458,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10459,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10460,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10461,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10462,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10463,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10464,感恩负重前行的人像你们致敬🫡,0.082 0.082 0.082 0.082 0.082 0.508 0.082
10465,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10466,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10467,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10468,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10469,致敬有你们守护边疆感恩,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10470,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10471,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10472,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10473,辛苦了 致敬🫡,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10474,Repost在严酷极寒大风的天气条件下新疆移民管理警察在边境依旧巡逻踏查守卫着人民的安全让我们向他们致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10475,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10476,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10477,致敬～辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10478,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10479,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10480,风口风这么大不应该先把国旗收起来保证自己的安全吗,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10481,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10482,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10483,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10484,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10485,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10486,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10487,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10488,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10489,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10490,致敬太辛苦了,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10491,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10492,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10493,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10494,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10495,辛苦了真的很了不起,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10496,😣,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10497,致敬🫡你们辛苦了,0.048 0.048 0.048 0.714 0.048 0.048 0.048
10498,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10499,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10500,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10501,致敬军人,0.076 0.076 0.076 0.076 0.076 0.545 0.076
10502,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10503,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10504,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10505,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10506,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10507,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10508,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10509,棒棒棒,0.143 0.145 0.141 0.142 0.143 0.144 0.143
10510,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10511,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10512,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10513,辛苦了 🫡,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10514,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10515,辛苦辛苦,0.084 0.084 0.084 0.084 0.495 0.084 0.084
10516,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10517,向您们致敬太不容易了🙏🙏🙏,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10518,了不起,0.076 0.076 0.076 0.076 0.076 0.546 0.076
10519,很好奇拍视频的怎么走的,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10520,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10521,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10522,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10523,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10524,致敬幸苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10525,风太大了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10526,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10527,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10528,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10529,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10530,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10531,致敬辛苦啦,0.082 0.082 0.081 0.081 0.081 0.511 0.082
10532,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10533,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10534,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10535,辛苦啦致敬英雄,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10536,太难了,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10537,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10538,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10539,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10540,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10541,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10542,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10543,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10544,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10545,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10546,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10547,致敬 辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10548,辛苦了为坚守致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10549,晚安,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10550,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10551,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10552,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10553,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10554,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10555,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10556,讲真不能把国旗卷起来吗,0.143 0.144 0.141 0.142 0.145 0.144 0.143
10557,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10558,致敬边防战士感谢你们,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10559,辛苦太不容易了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10560,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10561,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10562,致敬感恩,0.143 0.144 0.141 0.142 0.143 0.145 0.143
10563,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10564,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10565,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10566,辛苦了注意安全,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10567,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10568,致敬可爱又伟大的人,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10569,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10570,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10571,您们辛苦了致敬,0.147 0.144 0.137 0.140 0.143 0.147 0.142
10572,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10573,了不起,0.076 0.076 0.076 0.076 0.076 0.546 0.076
10574,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10575,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10576,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10577,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10578,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10579,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10580,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10581,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10582,不容易啊,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10583,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10584,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10585,致敬因为有你们的守护,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10586,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10587,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10588,为啥要迎风举着国旗,0.143 0.145 0.141 0.142 0.143 0.144 0.143
10589,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10590,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10591,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10592,致敬有你们守护边疆感恩,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10593,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10594,致敬有你们守护边疆感恩,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10595,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10596,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10597,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10598,致敬有你们守护边疆感恩,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10599,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10600,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10601,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10602,致敬有你们守护边疆感恩,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10603,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10604,向你们致敬 辛苦了,0.048 0.048 0.714 0.048 0.048 0.048 0.048
10605,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10606,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10607,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10608,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10609,这么恶劣的天气还有必须非得巡查吗推迟一天呗,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10610,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10611,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10612,e,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10613,致敬辛苦啦谢谢你们,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10614,k,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10615,辛苦了向你们致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10616,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10617,真不容易啊,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10618,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10619,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10620,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10621,致敬🫡辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10622,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10623,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10624,辛苦啦致敬,0.082 0.082 0.082 0.082 0.082 0.508 0.082
10625,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10626,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
